Year,Rank,Army,Navy,Marine Corps,Air Force
2008,GENERAL       -ADMIRAL,12,10,4,11
2008,LT GENERAL    -VICE ADMIRAL,54,38,17,35
2008,MAJ GENERAL   -REAR ADMIRAL(U),84,67,26,100
2008,BRIG GENERAL  -REAR ADMIRAL(L),168,116,40,147
2008,COLONEL       -CAPTAIN,4255,3259,688,3538
2008,LIEUTENANT COL-COMMANDER,9432,6748,1860,10148
2008,MAJOR         -LT COMMANDER,15387,10128,3717,14053
2008,CAPTAIN       -LIEUTENANT,25936,16919,5790,22734
2008,Ist LIEUTENANT-LIEUTENANT(JG),7503,6020,2854,7408
2008,2nd LIEUTENANT-ENSIGN,10097,6429,3301,6631
2008,CHIEF WARRANT OFFICER W-5,485,75,88,0
2008,CHIEF WARRANT OFFICER W-4,2504,343,269,0
2008,CHIEF WARRANT OFFICER W-3,3436,709,538,0
2008,CHIEF WARRANT OFFICER W-2,5023,526,798,0
2008,WARRANT OFFICER W-1,3234,0,212,0
2008,E-9,3560,2717,1606,2590
2008,E-8,11952,6446,3926,5178
2008,E-7,40019,22765,8231,26172
2008,E-6,64298,48362,15203,42135
2008,E-5,84528,66368,28499,69216
2008,E-4,126726,54792,36303,48199
2008,E-3,63130,40564,43304,47746
2008,E-2,35063,17698,24375,6493
2008,E-1,22789,15579,16766,10363
