Year,Rank/Grade,Army,Navy,Marine Corps,Air Force
2018,GENERAL       -ADMIRAL,15,8,4,13
2018,LT GENERAL    -VICE ADMIRAL,44,38,21,44
2018,MAJ GENERAL   -REAR ADMIRAL(U),118,61,27,90
2018,BRIG GENERAL  -REAR ADMIRAL(L),141,107,41,149
2018,COLONEL       -CAPTAIN,3990,3125,643,3241
2018,LIEUTENANT COL-COMMANDER,8793,6668,1901,9764
2018,MAJOR         -LT COMMANDER,15077,10592,3883,13593
2018,CAPTAIN       -LIEUTENANT,28421,18726,6122,20851
2018,Ist LIEUTENANT-LIEUTENANT(JG),11259,6659,3337,6995
2018,2nd LIEUTENANT-ENSIGN,9881,7018,3203,7900
2018,CHIEF WARRANT OFFICER W-5,589,87,107,0
2018,CHIEF WARRANT OFFICER W-4,2070,394,297,0
2018,CHIEF WARRANT OFFICER W-3,3949,647,629,0
2018,CHIEF WARRANT OFFICER W-2,5300,607,830,0
2018,WARRANT OFFICER W-1,2352,0,287,0
2018,E-9,3508,2641,1580,2640
2018,E-8,10580,6620,3920,5075
2018,E-7,35769,21294,8635,25388
2018,E-6,54188,49237,14145,39695
2018,E-5,65544,67876,26022,61672
2018,E-4,106466,51965,35626,51545
2018,E-3,50488,42796,42503,55267
2018,E-2,27491,15408,20869,7192
2018,E-1,25571,12821,10783,10504
