Year,Rank/Grade,Army,Navy,Marine Corps,Air Force,Space Force
2023,GENERAL       -ADMIRAL,15,7,2,11,2
2023,LT GENERAL    -VICE ADMIRAL,44,28,16,39,5
2023,MAJ GENERAL   -REAR ADMIRAL(U),95,53,30,68,6
2023,BRIG GENERAL  -REAR ADMIRAL(L),113,104,37,123,11
2023,COLONEL       -CAPTAIN,3654,3154,687,3177,222
2023,LIEUTENANT COL-COMMANDER,8695,6586,1941,9098,688
2023,MAJOR         -LT COMMANDER,15967,10599,3945,13425,1140
2023,CAPTAIN       -LIEUTENANT,26755,18645,5750,21104,1310
2023,Ist LIEUTENANT-LIEUTENANT(JG),12302,7370,3903,6911,521
2023,2nd LIEUTENANT-ENSIGN,9483,6708,2734,6788,519
2023,CHIEF WARRANT OFFICER W-5,557,75,111,0,0
2023,CHIEF WARRANT OFFICER W-4,1754,460,302,0,0
2023,CHIEF WARRANT OFFICER W-3,3162,755,653,0,0
2023,CHIEF WARRANT OFFICER W-2,5909,703,870,0,0
2023,WARRANT OFFICER W-1,4065,22,264,0,0
2023,E-9,3479,2804,1683,2538,48
2023,E-8,10266,6943,4084,4742,130
2023,E-7,36343,22812,8106,24029,587
2023,E-6,58119,49818,12818,41230,826
2023,E-5,68326,70224,24070,56125,1058
2023,E-4,103848,53785,31278,64810,623
2023,E-3,44068,40256,39387,44490,935
2023,E-2,20287,13232,16105,7714,113
2023,E-1,11735,12791,13801,8226,135
