year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2010,AR,O10,0,1,12,0,1
2010,AR,O9,-5,-3,49,1,1
2010,AR,O8,16,2,100,8,1
2010,AR,O7,-11,-11,157,-13,0
2010,AR,O6,101,-3,4356,78,1
2010,AR,O5,219,-11,9651,290,1
2010,AR,O4,1345,895,16732,431,1
2010,AR,O3,2814,1723,28750,1244,1
2010,AR,O2,772,70,8275,1107,1
2010,AR,O1,409,306,10506,-339,0
2010,AR,W5,114,48,599,21,1
2010,AR,W4,-19,46,2485,107,1
2010,AR,W3,247,144,3683,-132,0
2010,AR,W2,1107,443,6130,564,1
2010,AR,W1,-591,-317,2643,-255,0
2010,AR,E9,-48,-29,3512,152,1
2010,AR,E8,258,-21,12210,20,1
2010,AR,E7,409,-620,40428,55,1
2010,AR,E6,1502,82,65800,-1368,0
2010,AR,E5,1260,2135,85788,-2511,0
2010,AR,E4,15994,7613,142720,4392,1
2010,AR,E3,6694,2531,69824,1805,1
2010,AR,E2,-2152,-1438,32911,-4080,0
2010,AR,E1,-8734,-1225,14055,-2108,0
2010,AR,O10,0,1,12,0,1
2010,AR,O9,-5,-3,49,1,1
2010,AR,O8,16,2,100,8,1
2010,AR,O7,-11,-11,157,-13,0
2010,AR,O6,101,-3,4356,78,1
2010,AR,O5,219,-11,9651,290,1
2010,AR,O4,1345,895,16732,431,1
2010,AR,O3,2814,1723,28750,1244,1
2010,AR,O2,772,70,8275,1107,1
2010,AR,O1,409,306,10506,-339,0
2010,AR,W5,114,48,599,21,1
2010,AR,W4,-19,46,2485,107,1
2010,AR,W3,247,144,3683,-132,0
2010,AR,W2,1107,443,6130,564,1
2010,AR,W1,-591,-317,2643,-255,0
2010,AR,E9,-48,-29,3512,152,1
2010,AR,E8,258,-21,12210,20,1
2010,AR,E7,409,-620,40428,55,1
2010,AR,E6,1502,82,65800,-1368,0
2010,AR,E5,1260,2135,85788,-2511,0
2010,AR,E4,15994,7613,142720,4392,1
2010,AR,E3,6694,2531,69824,1805,1
2010,AR,E2,-2152,-1438,32911,-4080,0
2010,AR,E1,-8734,-1225,14055,-2108,0
2011,AR,O10,1,0,12,-1,0
2011,AR,O9,-2,1,50,1,1
2011,AR,O8,10,8,108,12,1
2011,AR,O7,-24,-13,144,-11,0
2011,AR,O6,75,78,4434,-61,0
2011,AR,O5,279,290,9941,44,1
2011,AR,O4,1326,431,17163,242,1
2011,AR,O3,2967,1244,29994,-1663,0
2011,AR,O2,1177,1107,9382,3622,1
2011,AR,O1,-33,-339,10167,-1042,0
2011,AR,W5,69,21,620,27,1
2011,AR,W4,153,107,2592,-70,0
2011,AR,W3,12,-132,3551,321,1
2011,AR,W2,1007,564,6694,-50,0
2011,AR,W1,-572,-255,2388,-188,0
2011,AR,E9,123,152,3664,7,1
2011,AR,E8,-1,20,12230,62,1
2011,AR,E7,-565,55,40483,392,1
2011,AR,E6,-1286,-1368,64432,-863,0
2011,AR,E5,-376,-2511,83277,-168,0
2011,AR,E4,12005,4392,147112,-4022,0
2011,AR,E3,4336,1805,71629,-9357,0
2011,AR,E2,-5518,-4080,28831,-3655,0
2011,AR,E1,-3333,-2108,11947,1073,1
2011,AR,O10,1,0,12,-1,0
2011,AR,O9,-2,1,50,1,1
2011,AR,O8,10,8,108,12,1
2011,AR,O7,-24,-13,144,-11,0
2011,AR,O6,75,78,4434,-61,0
2011,AR,O5,279,290,9941,44,1
2011,AR,O4,1326,431,17163,242,1
2011,AR,O3,2967,1244,29994,-1663,0
2011,AR,O2,1177,1107,9382,3622,1
2011,AR,O1,-33,-339,10167,-1042,0
2011,AR,W5,69,21,620,27,1
2011,AR,W4,153,107,2592,-70,0
2011,AR,W3,12,-132,3551,321,1
2011,AR,W2,1007,564,6694,-50,0
2011,AR,W1,-572,-255,2388,-188,0
2011,AR,E9,123,152,3664,7,1
2011,AR,E8,-1,20,12230,62,1
2011,AR,E7,-565,55,40483,392,1
2011,AR,E6,-1286,-1368,64432,-863,0
2011,AR,E5,-376,-2511,83277,-168,0
2011,AR,E4,12005,4392,147112,-4022,0
2011,AR,E3,4336,1805,71629,-9357,0
2011,AR,E2,-5518,-4080,28831,-3655,0
2011,AR,E1,-3333,-2108,11947,1073,1
2012,AR,O10,-1,-1,11,1,1
2012,AR,O9,2,1,51,1,1
2012,AR,O8,20,12,120,-7,0
2012,AR,O7,-24,-11,133,9,1
2012,AR,O6,17,-61,4373,-6,0
2012,AR,O5,334,44,9985,248,1
2012,AR,O4,673,242,17405,-43,0
2012,AR,O3,-419,-1663,28331,-250,0
2012,AR,O2,4729,3622,13004,857,1
2012,AR,O1,-1381,-1042,9125,-432,0
2012,AR,W5,48,27,647,12,1
2012,AR,W4,37,-70,2522,-150,0
2012,AR,W3,189,321,3872,24,1
2012,AR,W2,514,-50,6644,91,1
2012,AR,W1,-443,-188,2200,-144,0
2012,AR,E9,159,7,3671,94,1
2012,AR,E8,82,62,12292,-26,0
2012,AR,E7,447,392,40875,-493,0
2012,AR,E6,-2231,-863,63569,-1729,0
2012,AR,E5,-2679,-168,83109,-4482,0
2012,AR,E4,370,-4022,143090,-14718,0
2012,AR,E3,-7552,-9357,62272,-5092,0
2012,AR,E2,-7735,-3655,25176,1017,1
2012,AR,E1,-1035,1073,13020,7278,1
2012,AR,O10,-1,-1,11,1,1
2012,AR,O9,2,1,51,1,1
2012,AR,O8,20,12,120,-7,0
2012,AR,O7,-24,-11,133,9,1
2012,AR,O6,17,-61,4373,-6,0
2012,AR,O5,334,44,9985,248,1
2012,AR,O4,673,242,17405,-43,0
2012,AR,O3,-419,-1663,28331,-250,0
2012,AR,O2,4729,3622,13004,857,1
2012,AR,O1,-1381,-1042,9125,-432,0
2012,AR,W5,48,27,647,12,1
2012,AR,W4,37,-70,2522,-150,0
2012,AR,W3,189,321,3872,24,1
2012,AR,W2,514,-50,6644,91,1
2012,AR,W1,-443,-188,2200,-144,0
