year,agency,Rank,minus_2,minus_1,current,plus_1
2012,AR,O10,-1,-1,11,1
2012,AR,O9,2,1,51,1
2012,AR,O8,20,12,120,-7
2012,AR,O7,-24,-11,133,9
2012,AR,O6,17,-61,4373,-6
2012,AR,O5,334,44,9985,248
2012,AR,O4,673,242,17405,-43
2012,AR,O3,-419,-1663,28331,-250
2012,AR,O2,4729,3622,13004,857
2012,AR,O1,-1381,-1042,9125,-432
2012,AR,W5,48,27,647,12
2012,AR,W4,37,-70,2522,-150
2012,AR,W3,189,321,3872,24
2012,AR,W2,514,-50,6644,91
2012,AR,W1,-443,-188,2200,-144
2012,AR,E9,159,7,3671,94
2012,AR,E8,82,62,12292,-26
2012,AR,E7,447,392,40875,-493
2012,AR,E6,-2231,-863,63569,-1729
2012,AR,E5,-2679,-168,83109,-4482
2012,AR,E4,370,-4022,143090,-14718
2012,AR,E3,-7552,-9357,62272,-5092
2012,AR,E2,-7735,-3655,25176,1017
2012,AR,E1,-1035,1073,13020,7278
