Year,service,Rank,minus_2,minus_1,current,plus_1
2013,NV,O10,-4,-2,13,1
2013,NV,O9,3,1,61,-8
2013,NV,O8,-10,-4,98,-3
2013,NV,O7,-7,-2,147,2
2013,NV,O6,-252,-69,3987,28
2013,NV,O5,-421,-53,8639,143
2013,NV,O4,115,163,14751,-33
2013,NV,O3,1422,507,24808,223
2013,NV,O2,-292,-309,10079,-131
2013,NV,O1,-483,-179,8863,-77
2013,NV,W5,11,1,171,9
2013,NV,W4,-64,-23,675,29
2013,NV,W3,89,22,1232,8
2013,NV,W2,10,-20,1408,-24
2013,NV,W1,-91,-34,167,88
2013,NV,E9,84,80,4145,-9
2013,NV,E8,100,231,10057,139
2013,NV,E7,-539,-26,29274,69
2013,NV,E6,-1428,492,60836,-182
2013,NV,E5,-1970,2016,88450,945
2013,NV,E4,1662,-1446,93245,-352
2013,NV,E3,-12244,-5112,87762,3309
2013,NV,E2,4271,5245,40363,-5244
2013,NV,E1,4562,1053,26455,-5126
