year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2014,NV,O10,-1,1,14,0,1
2014,NV,O9,-7,-8,53,-1,0
2014,NV,O8,-7,-3,95,-5,0
2014,NV,O7,0,2,149,-8,0
2014,NV,O6,-41,28,4015,-144,0
2014,NV,O5,90,143,8782,-182,0
2014,NV,O4,130,-33,14718,-325,0
2014,NV,O3,730,223,25031,-18,0
2014,NV,O2,-440,-131,9948,-54,0
2014,NV,O1,-256,-77,8786,282,1
2014,NV,W5,10,9,180,-2,0
2014,NV,W4,6,29,704,-27,0
2014,NV,W3,30,8,1240,-4,0
2014,NV,W2,-44,-24,1384,55,1
2014,NV,W1,54,88,255,-67,0
2014,NV,E9,71,-9,4136,-25,0
2014,NV,E8,370,139,10196,-64,0
2014,NV,E7,43,69,29343,-389,0
2014,NV,E6,310,-182,60654,-518,0
2014,NV,E5,2961,945,89395,199,1
2014,NV,E4,-1798,-352,92893,2701,1
2014,NV,E3,-1803,3309,91071,-3764,0
2014,NV,E2,1,-5244,35119,-368,0
2014,NV,E1,-4073,-5126,21329,-11,0
