Year,service,Rank,minus_2,minus_1,current,plus_1
2015,AR,O10,-1,-2,11,1
2015,AR,O9,-4,0,48,-4
2015,AR,O8,10,10,123,2
2015,AR,O7,-8,-3,134,-3
2015,AR,O6,-217,-108,4150,-11
2015,AR,O5,-984,-439,9249,-252
2015,AR,O4,-862,-822,16500,-922
2015,AR,O3,983,-138,29064,-255
2015,AR,O2,-1700,-561,12161,-821
2015,AR,O1,-561,-192,8132,254
2015,AR,W5,-40,-37,619,-28
2015,AR,W4,-267,-128,2105,-148
2015,AR,W3,292,159,4188,-17
2015,AR,W2,-480,-313,6255,-358
2015,AR,W1,-185,-113,1871,81
2015,AR,E9,-324,-153,3441,-62
2015,AR,E8,-870,-568,11396,-618
2015,AR,E7,-3574,-2526,36808,-1596
2015,AR,E6,-4044,-2679,57796,-3607
2015,AR,E5,-8559,-4324,70068,-5207
2015,AR,E4,-9054,912,119318,-4809
2015,AR,E3,-10965,-6881,46215,1074
2015,AR,E2,1043,450,27236,-537
2015,AR,E1,-249,1577,20049,1813
