Year,service,Rank,minus_2,minus_1,current,plus_1
2018,AF,O10,0,0,13,-1
2018,AF,O9,4,3,44,-2
2018,AF,O8,-1,-1,90,-1
2018,AF,O7,-4,-4,149,-5
2018,AF,O6,-79,-72,3241,95
2018,AF,O5,179,13,9764,13
2018,AF,O4,691,301,13593,447
2018,AF,O3,-401,-117,20851,-185
2018,AF,O2,94,344,6995,726
2018,AF,O1,1196,576,7900,175
2018,AF,W5,0,0,0,0
2018,AF,W4,0,0,0,0
2018,AF,W3,0,0,0,0
2018,AF,W2,0,0,0,0
2018,AF,W1,0,0,0,0
2018,AF,E9,125,54,2640,-27
2018,AF,E8,80,64,5075,304
2018,AF,E7,904,612,25388,1103
2018,AF,E6,18,121,39695,0
2018,AF,E5,2277,-250,61672,-128
2018,AF,E4,-8005,-1558,51545,3005
2018,AF,E3,11415,3992,55267,-101
2018,AF,E2,171,-949,7192,376
2018,AF,E1,-769,-91,10504,466
