year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2020,AF,O10,3,4,16,-3,0
2020,AF,O9,7,9,51,-1,0
2020,AF,O8,3,4,93,3,1
2020,AF,O7,-14,-9,135,-1,0
2020,AF,O6,51,-44,3292,65,1
2020,AF,O5,56,43,9820,126,1
2020,AF,O4,716,269,14309,188,1
2020,AF,O3,-93,92,20758,643,1
2020,AF,O2,1420,694,8415,251,1
2020,AF,O1,-544,-719,7356,-643,0
2020,AF,W5,0,0,0,0,1
2020,AF,W4,0,0,0,0,1
2020,AF,W3,0,0,0,0,1
2020,AF,W2,0,0,0,0,1
2020,AF,W1,0,0,0,0,1
2020,AF,E9,-8,19,2632,20,1
2020,AF,E8,202,-102,5277,-321,0
2020,AF,E7,1148,45,26536,-165,0
2020,AF,E6,2767,2767,42462,1724,1
2020,AF,E5,-166,-38,61506,94,1
2020,AF,E4,5916,2911,57461,3602,1
2020,AF,E3,-1806,-1705,53461,-5040,0
2020,AF,E2,704,328,7896,247,1
2020,AF,E1,-2366,-2832,8138,128,1
