year,agency,Rank,minus_2,minus_1,current,plus_1,slope
2020,AR,O10,2,4,17,-1,0
2020,AR,O9,3,3,47,1,1
2020,AR,O8,-25,-21,93,12,1
2020,AR,O7,-3,11,138,-9,0
2020,AR,O6,12,33,4002,-99,0
2020,AR,O5,236,257,9029,110,1
2020,AR,O4,980,614,16057,122,1
2020,AR,O3,-1277,-1253,27144,83,1
2020,AR,O2,1005,1245,12264,22,1
2020,AR,O1,-31,-380,9850,-113,0
2020,AR,W5,-38,-30,551,-8,0
2020,AR,W4,-121,6,1949,23,1
2020,AR,W3,-309,-202,3640,-165,0
2020,AR,W2,227,241,5527,322,1
2020,AR,W1,322,44,2674,161,1
2020,AR,E9,-23,-35,3485,-101,0
2020,AR,E8,372,-272,10952,-283,0
2020,AR,E7,692,899,36461,-1828,0
2020,AR,E6,4825,3288,59013,276,1
2020,AR,E5,2486,-40,68030,2550,1
2020,AR,E4,5764,2052,112230,7434,1
2020,AR,E3,3654,4514,54142,790,1
2020,AR,E2,-2876,-2111,24615,-2866,0
2020,AR,E1,-6588,-7385,18983,-5319,0
