year,agency,Rank,minus_2,minus_1,current,plus_1
2022,NV,O10,1,1,13,-4
2022,NV,O9,-4,-8,51,-7
2022,NV,O8,2,4,97,-14
2022,NV,O7,-4,-6,140,1
2022,NV,O6,-32,-17,3920,-79
2022,NV,O5,-10,-5,8710,-183
2022,NV,O4,148,122,14848,-304
2022,NV,O3,21,-158,24721,-326
2022,NV,O2,453,1,11185,88
2022,NV,O1,188,355,10127,-685
2022,NV,W5,-3,2,195,-9
2022,NV,W4,72,4,780,-18
2022,NV,W3,64,72,1399,9
2022,NV,W2,79,16,1630,-57
2022,NV,W1,-44,-63,224,62
2022,NV,E9,66,-39,4363,124
2022,NV,E8,153,-96,11195,-168
2022,NV,E7,303,-329,31251,-333
2022,NV,E6,-1354,-731,64533,-1897
2022,NV,E5,-2733,-2580,92766,1528
2022,NV,E4,-8763,-412,86548,-1485
2022,NV,E3,7320,-395,92481,-12838
2022,NV,E2,-3435,-6061,30519,-1182
2022,NV,E1,-800,2089,22946,3646
