year,agency,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
2010,AF,5800,1960,2480,0,320
2010,AR,10552,3663,4613,0,585
2010,NV,6991,2209,2777,0,401
2011,AF,4748,1701,1924,0,402
2011,AR,10482,3497,4187,0,661
2011,NV,7563,2377,2910,0,487
2012,AF,32537,13781,12542,0,3047
2012,AR,40795,18367,14799,0,3987
2012,NV,37664,14047,12946,0,2947
2013,AF,6481,3080,2078,0,490
2013,AR,11429,6246,3475,0,980
2013,NV,10858,4605,3298,0,757
2014,AF,10160,4580,3580,0,848
2014,AR,11560,6356,3460,0,1038
2014,NV,10570,4794,3393,0,704
2015,AF,9803,4250,3984,0,739
2015,AR,10897,5504,3855,0,747
2015,NV,9601,4334,3377,0,579
2016,AF,7289,3702,3849,0,746
2016,AR,8078,4594,3871,0,543
2016,NV,6271,2968,2691,0,431
2017,AF,7878,3878,4348,0,795
2017,AR,10690,5038,5468,0,654
2017,NV,7970,3429,4068,0,555
2018,AF,15618,7834,8428,0,1471
2018,AR,34315,15745,18104,0,1841
2018,NV,24374,10315,11474,0,1719
2019,AF,296,6766,8253,13975,2058
2019,AR,621,16850,22799,42552,2817
2019,NV,526,9891,12091,25638,3172
2020,AF,294,5494,11199,18187,302
2020,AR,296,12512,24604,44350,393
2020,NV,368,7096,15431,28913,345
2021,AF,146,2198,4923,6142,439
2021,AR,232,4872,13710,16253,705
2021,NV,182,3072,7610,9652,585
2022,AF,200,5225,7850,16607,1309
2022,AR,352,10377,14533,33211,1805
2022,NV,267,7010,8711,22401,1501
